source	target	weight
albüm	albümü	3.906891
albüm	gitar	3.906891
albüm	müzik	3.906891
albüm	şarkı	3.906891
albümü	gitar	3.906891
albümü	müzik	3.906891
albümü	şarkı	3.906891
gitar	müzik	3.906891
gitar	şarkı	3.906891
müzik	şarkı	3.906891
anadolu	bantia	3.906891
anadolu	john	3.906891
anadolu	lisesi	2.906891
anadolu	william	3.906891
bantia	john	3.906891
bantia	lisesi	2.906891
bantia	william	3.906891
john	lisesi	2.906891
john	william	3.906891
lisesi	william	2.906891
için	kullanıcı	3.906891
için	microsoft	3.906891
için	veya	2.906891
için	windows	3.906891
kullanıcı	microsoft	3.906891
kullanıcı	veya	2.906891
kullanıcı	windows	3.906891
microsoft	veya	2.906891
microsoft	windows	3.906891
veya	windows	2.906891
fakültesi	lisesi	2.906891
fakültesi	mezun	3.906891
fakültesi	nde	3.906891
fakültesi	üniversitesi	3.906891
lisesi	mezun	2.906891
lisesi	nde	2.906891
lisesi	üniversitesi	2.906891
mezun	nde	3.906891
mezun	üniversitesi	3.906891
nde	üniversitesi	3.906891
başkanı	genel	3.906891
başkanı	milletvekili	3.906891
başkanı	parti	3.906891
başkanı	partisi	3.906891
genel	milletvekili	3.906891
genel	parti	3.906891
genel	partisi	3.906891
milletvekili	parti	3.906891
milletvekili	partisi	3.906891
parti	partisi	3.906891
bağlı	ilinin	3.906891
bağlı	ilçesine	3.906891
bağlı	köydür	3.906891
bağlı	mahalledir	3.906891
ilinin	ilçesine	3.906891
ilinin	köydür	3.906891
ilinin	mahalledir	3.906891
ilçesine	köydür	3.906891
ilçesine	mahalledir	3.906891
köydür	mahalledir	3.906891
kan	neden	3.906891
kan	psychotria	3.906891
kan	tedavi	3.906891
kan	veya	2.906891
neden	psychotria	3.906891
neden	tedavi	3.906891
neden	veya	2.906891
psychotria	tedavi	3.906891
psychotria	veya	2.906891
tedavi	veya	2.906891
film	filmde	3.906891
film	filmi	3.906891
film	tiyatrosu	3.906891
film	yapımı	3.906891
filmde	filmi	3.906891
filmde	tiyatrosu	3.906891
filmde	yapımı	3.906891
filmi	tiyatrosu	3.906891
filmi	yapımı	3.906891
tiyatrosu	yapımı	3.906891
babasıdır	evlendi	3.906891
babasıdır	evli	3.906891
babasıdır	oğlu	3.906891
babasıdır	çocuk	3.906891
evlendi	evli	3.906891
evlendi	oğlu	3.906891
evlendi	çocuk	3.906891
evli	oğlu	3.906891
evli	çocuk	3.906891
oğlu	çocuk	3.906891
2019	2021	3.906891
2019	bölüm	3.906891
2019	tarihinde	3.906891
2019	televizyon	3.906891
2021	bölüm	3.906891
2021	tarihinde	3.906891
2021	televizyon	3.906891
bölüm	tarihinde	3.906891
bölüm	televizyon	3.906891
tarihinde	televizyon	3.906891
gazetesi	kitabı	3.906891
gazetesi	kitap	3.906891
gazetesi	roman	3.906891
gazetesi	şiir	3.906891
kitabı	kitap	3.906891
kitabı	roman	3.906891
kitabı	şiir	3.906891
kitap	roman	3.906891
kitap	şiir	3.906891
roman	şiir	3.906891
attı	gol	3.906891
attı	maçta	3.906891
attı	maçı	3.906891
attı	maçında	3.906891
gol	maçta	3.906891
gol	maçı	3.906891
gol	maçında	3.906891
maçta	maçı	3.906891
maçta	maçında	3.906891
maçı	maçında	3.906891
dalga	enerji	3.906891
dalga	hidrojen	3.906891
dalga	kuantum	3.906891
dalga	manyetik	3.906891
enerji	hidrojen	3.906891
enerji	kuantum	3.906891
enerji	manyetik	3.906891
hidrojen	kuantum	3.906891
hidrojen	manyetik	3.906891
kuantum	manyetik	3.906891
itibarıyla	nüfus	3.906891
itibarıyla	nüfusu	3.906891
itibarıyla	sayımına	3.906891
itibarıyla	şehrin	3.906891
nüfus	nüfusu	3.906891
nüfus	sayımına	3.906891
nüfus	şehrin	3.906891
nüfusu	sayımına	3.906891
nüfusu	şehrin	3.906891
sayımına	şehrin	3.906891
karşı	ordu	3.906891
karşı	ordusu	3.906891
karşı	savaş	3.906891
karşı	savaşı	3.906891
ordu	ordusu	3.906891
ordu	savaş	3.906891
ordu	savaşı	3.906891
ordusu	savaş	3.906891
ordusu	savaşı	3.906891
savaş	savaşı	3.906891
