source	target	weight
albüm	albümü	2.708050
albüm	gitar	2.708050
albüm	müzik	2.708050
albüm	şarkı	2.708050
albümü	gitar	2.708050
albümü	müzik	2.708050
albümü	şarkı	2.708050
gitar	müzik	2.708050
gitar	şarkı	2.708050
müzik	şarkı	2.708050
anadolu	bantia	2.708050
anadolu	john	2.708050
anadolu	lisesi	2.708050
anadolu	william	2.708050
bantia	john	2.708050
bantia	lisesi	2.708050
bantia	william	2.708050
john	lisesi	2.708050
john	william	2.708050
lisesi	william	2.708050
için	kullanıcı	2.708050
için	microsoft	2.708050
için	veya	2.708050
için	windows	2.708050
kullanıcı	microsoft	2.708050
kullanıcı	veya	2.708050
kullanıcı	windows	2.708050
microsoft	veya	2.708050
microsoft	windows	2.708050
veya	windows	2.708050
fakültesi	lisesi	2.708050
fakültesi	mezun	2.708050
fakültesi	nde	2.708050
fakültesi	üniversitesi	2.708050
lisesi	mezun	2.708050
lisesi	nde	2.708050
lisesi	üniversitesi	2.708050
mezun	nde	2.708050
mezun	üniversitesi	2.708050
nde	üniversitesi	2.708050
başkanı	genel	2.708050
başkanı	milletvekili	2.708050
başkanı	parti	2.708050
başkanı	partisi	2.708050
genel	milletvekili	2.708050
genel	parti	2.708050
genel	partisi	2.708050
milletvekili	parti	2.708050
milletvekili	partisi	2.708050
parti	partisi	2.708050
bağlı	ilinin	2.708050
bağlı	ilçesine	2.708050
bağlı	köydür	2.708050
bağlı	mahalledir	2.708050
ilinin	ilçesine	2.708050
ilinin	köydür	2.708050
ilinin	mahalledir	2.708050
ilçesine	köydür	2.708050
ilçesine	mahalledir	2.708050
köydür	mahalledir	2.708050
kan	neden	2.708050
kan	psychotria	2.708050
kan	tedavi	2.708050
kan	veya	2.708050
neden	psychotria	2.708050
neden	tedavi	2.708050
neden	veya	2.708050
psychotria	tedavi	2.708050
psychotria	veya	2.708050
tedavi	veya	2.708050
film	filmde	2.708050
film	filmi	2.708050
film	tiyatrosu	2.708050
film	yapımı	2.708050
filmde	filmi	2.708050
filmde	tiyatrosu	2.708050
filmde	yapımı	2.708050
filmi	tiyatrosu	2.708050
filmi	yapımı	2.708050
tiyatrosu	yapımı	2.708050
babasıdır	evlendi	2.708050
babasıdır	evli	2.708050
babasıdır	oğlu	2.708050
babasıdır	çocuk	2.708050
evlendi	evli	2.708050
evlendi	oğlu	2.708050
evlendi	çocuk	2.708050
evli	oğlu	2.708050
evli	çocuk	2.708050
oğlu	çocuk	2.708050
2019	2021	2.708050
2019	bölüm	2.708050
2019	tarihinde	2.708050
2019	televizyon	2.708050
2021	bölüm	2.708050
2021	tarihinde	2.708050
2021	televizyon	2.708050
bölüm	tarihinde	2.708050
bölüm	televizyon	2.708050
tarihinde	televizyon	2.708050
gazetesi	kitabı	2.708050
gazetesi	kitap	2.708050
gazetesi	roman	2.708050
gazetesi	şiir	2.708050
kitabı	kitap	2.708050
kitabı	roman	2.708050
kitabı	şiir	2.708050
kitap	roman	2.708050
kitap	şiir	2.708050
roman	şiir	2.708050
attı	gol	2.708050
attı	maçta	2.708050
attı	maçı	2.708050
attı	maçında	2.708050
gol	maçta	2.708050
gol	maçı	2.708050
gol	maçında	2.708050
maçta	maçı	2.708050
maçta	maçında	2.708050
maçı	maçında	2.708050
dalga	enerji	2.708050
dalga	hidrojen	2.708050
dalga	kuantum	2.708050
dalga	manyetik	2.708050
enerji	hidrojen	2.708050
enerji	kuantum	2.708050
enerji	manyetik	2.708050
hidrojen	kuantum	2.708050
hidrojen	manyetik	2.708050
kuantum	manyetik	2.708050
itibarıyla	nüfus	2.708050
itibarıyla	nüfusu	2.708050
itibarıyla	sayımına	2.708050
itibarıyla	şehrin	2.708050
nüfus	nüfusu	2.708050
nüfus	sayımına	2.708050
nüfus	şehrin	2.708050
nüfusu	sayımına	2.708050
nüfusu	şehrin	2.708050
sayımına	şehrin	2.708050
karşı	ordu	2.708050
karşı	ordusu	2.708050
karşı	savaş	2.708050
karşı	savaşı	2.708050
ordu	ordusu	2.708050
ordu	savaş	2.708050
ordu	savaşı	2.708050
ordusu	savaş	2.708050
ordusu	savaşı	2.708050
savaş	savaşı	2.708050
