source	target	weight
albüm	albümü	4.736198
albüm	gitar	4.736198
albüm	müzik	4.736198
albüm	şarkı	4.043051
albümü	gitar	4.736198
albümü	müzik	4.736198
albümü	şarkı	4.043051
gitar	müzik	4.736198
gitar	şarkı	4.043051
müzik	şarkı	4.043051
anadolu	bantia	4.736198
anadolu	john	4.736198
anadolu	lisesi	4.043051
anadolu	william	4.736198
bantia	john	4.736198
bantia	lisesi	4.043051
bantia	william	4.736198
john	lisesi	4.043051
john	william	4.736198
lisesi	william	4.043051
için	kullanıcı	4.043051
için	microsoft	4.043051
için	veya	3.349904
için	windows	4.043051
kullanıcı	microsoft	4.736198
kullanıcı	veya	4.043051
kullanıcı	windows	4.736198
microsoft	veya	4.043051
microsoft	windows	4.736198
veya	windows	4.043051
fakültesi	lisesi	4.043051
fakültesi	mezun	4.736198
fakültesi	nde	4.736198
fakültesi	üniversitesi	4.736198
lisesi	mezun	4.043051
lisesi	nde	4.043051
lisesi	üniversitesi	4.043051
mezun	nde	4.736198
mezun	üniversitesi	4.736198
nde	üniversitesi	4.736198
başkanı	genel	4.043051
başkanı	milletvekili	4.043051
başkanı	parti	4.736198
başkanı	partisi	4.736198
genel	milletvekili	4.043051
genel	parti	4.043051
genel	partisi	4.043051
milletvekili	parti	4.043051
milletvekili	partisi	4.043051
parti	partisi	4.736198
bağlı	ilinin	3.349904
bağlı	ilçesine	3.349904
bağlı	köydür	3.349904
bağlı	mahalledir	3.349904
ilinin	ilçesine	4.736198
ilinin	köydür	4.736198
ilinin	mahalledir	4.736198
ilçesine	köydür	4.736198
ilçesine	mahalledir	4.736198
köydür	mahalledir	4.736198
kan	neden	4.736198
kan	psychotria	4.736198
kan	tedavi	4.736198
kan	veya	4.043051
neden	psychotria	4.736198
neden	tedavi	4.736198
neden	veya	4.043051
psychotria	tedavi	4.736198
psychotria	veya	4.043051
tedavi	veya	4.043051
film	filmde	4.043051
film	filmi	4.043051
film	tiyatrosu	4.043051
film	yapımı	4.043051
filmde	filmi	4.736198
filmde	tiyatrosu	4.736198
filmde	yapımı	4.736198
filmi	tiyatrosu	4.736198
filmi	yapımı	4.736198
tiyatrosu	yapımı	4.736198
babasıdır	evlendi	4.736198
babasıdır	evli	4.736198
babasıdır	oğlu	4.736198
babasıdır	çocuk	4.736198
evlendi	evli	4.736198
evlendi	oğlu	4.736198
evlendi	çocuk	4.736198
evli	oğlu	4.736198
evli	çocuk	4.736198
oğlu	çocuk	4.736198
2019	2021	4.736198
2019	bölüm	4.736198
2019	tarihinde	4.736198
2019	televizyon	4.736198
2021	bölüm	4.736198
2021	tarihinde	4.736198
2021	televizyon	4.736198
bölüm	tarihinde	4.736198
bölüm	televizyon	4.736198
tarihinde	televizyon	4.736198
gazetesi	kitabı	4.736198
gazetesi	kitap	4.736198
gazetesi	roman	4.736198
gazetesi	şiir	4.736198
kitabı	kitap	4.736198
kitabı	roman	4.736198
kitabı	şiir	4.736198
kitap	roman	4.736198
kitap	şiir	4.736198
roman	şiir	4.736198
attı	gol	4.736198
attı	maçta	4.736198
attı	maçı	4.736198
attı	maçında	4.736198
gol	maçta	4.736198
gol	maçı	4.736198
gol	maçında	4.736198
maçta	maçı	4.736198
maçta	maçında	4.736198
maçı	maçında	4.736198
dalga	enerji	4.736198
dalga	hidrojen	4.736198
dalga	kuantum	4.736198
dalga	manyetik	4.736198
enerji	hidrojen	4.736198
enerji	kuantum	4.736198
enerji	manyetik	4.736198
hidrojen	kuantum	4.736198
hidrojen	manyetik	4.736198
kuantum	manyetik	4.736198
itibarıyla	nüfus	4.736198
itibarıyla	nüfusu	4.736198
itibarıyla	sayımına	4.736198
itibarıyla	şehrin	4.736198
nüfus	nüfusu	4.736198
nüfus	sayımına	4.736198
nüfus	şehrin	4.736198
nüfusu	sayımına	4.736198
nüfusu	şehrin	4.736198
sayımına	şehrin	4.736198
karşı	ordu	4.043051
karşı	ordusu	4.043051
karşı	savaş	4.043051
karşı	savaşı	4.043051
ordu	ordusu	4.736198
ordu	savaş	4.736198
ordu	savaşı	4.736198
ordusu	savaş	4.736198
ordusu	savaşı	4.736198
savaş	savaşı	4.736198
hava	havaalanı	4.736198
hava	havalimanı	4.736198
hava	uçak	4.736198
hava	uçağı	4.736198
havaalanı	havalimanı	4.736198
havaalanı	uçak	4.736198
havaalanı	uçağı	4.736198
havalimanı	uçak	4.736198
havalimanı	uçağı	4.736198
uçak	uçağı	4.736198
istanbul	türk	3.637586
istanbul	türkiye	3.349904
istanbul	türkçe	4.736198
istanbul	türkçeye	4.736198
türk	türkiye	2.944439
türk	türkçe	3.637586
türk	türkçeye	3.637586
türkiye	türkçe	3.349904
türkiye	türkçeye	3.349904
türkçe	türkçeye	4.736198
1934	1945	4.736198
1934	alman	4.736198
1934	nisan	4.736198
1934	von	4.736198
1945	alman	4.736198
1945	nisan	4.736198
1945	von	4.736198
alman	nisan	4.736198
alman	von	4.736198
nisan	von	4.736198
frac	mathbf	4.736198
frac	partial	4.736198
frac	sqrt	4.736198
frac	u_	4.736198
mathbf	partial	4.736198
mathbf	sqrt	4.736198
mathbf	u_	4.736198
partial	sqrt	4.736198
partial	u_	4.736198
sqrt	u_	4.736198
en	film	4.043051
en	iyi	4.736198
en	ödülleri	4.736198
en	ödülü	4.736198
film	iyi	4.043051
film	ödülleri	4.043051
film	ödülü	4.043051
iyi	ödülleri	4.736198
iyi	ödülü	4.736198
ödülleri	ödülü	4.736198
bağlı	cinsidir	3.349904
bağlı	familyasına	3.349904
bağlı	hayvan	3.349904
bağlı	türüdür	3.349904
cinsidir	familyasına	4.043051
cinsidir	hayvan	4.736198
cinsidir	türüdür	3.637586
familyasına	hayvan	4.043051
familyasına	türüdür	3.637586
hayvan	türüdür	3.637586
il	ilçe	4.736198
il	km	4.736198
il	merkezine	4.736198
il	uzaklıktadır	4.736198
ilçe	km	4.736198
ilçe	merkezine	4.736198
ilçe	uzaklıktadır	4.736198
km	merkezine	4.736198
km	uzaklıktadır	4.736198
merkezine	uzaklıktadır	4.736198
bir	bu	4.736198
bir	felsefe	4.736198
bir	olarak	4.736198
bir	olduğunu	4.736198
bu	felsefe	4.736198
bu	olarak	4.736198
bu	olduğunu	4.736198
felsefe	olarak	4.736198
felsefe	olduğunu	4.736198
olarak	olduğunu	4.736198
birliği	rus	4.736198
birliği	rusya	4.736198
birliği	sovyet	4.736198
birliği	sovyetler	4.736198
rus	rusya	4.736198
rus	sovyet	4.736198
rus	sovyetler	4.736198
rusya	sovyet	4.736198
rusya	sovyetler	4.736198
sovyet	sovyetler	4.736198
ceza	cezasına	4.736198
ceza	hapis	4.736198
ceza	mahkemesi	4.736198
ceza	çarptırıldı	4.736198
cezasına	hapis	4.736198
cezasına	mahkemesi	4.736198
cezasına	çarptırıldı	4.736198
hapis	mahkemesi	4.736198
hapis	çarptırıldı	4.736198
mahkemesi	çarptırıldı	4.736198
camii	katolik	4.736198
camii	kilise	4.736198
camii	kilisesi	4.736198
camii	ortodoks	4.736198
katolik	kilise	4.736198
katolik	kilisesi	4.736198
katolik	ortodoks	4.736198
kilise	kilisesi	4.736198
kilise	ortodoks	4.736198
kilisesi	ortodoks	4.736198
güneş	jüpiter	4.736198
güneş	ngc	4.736198
güneş	yıldız	4.736198
güneş	yıldızı	4.736198
jüpiter	ngc	4.736198
jüpiter	yıldız	4.736198
jüpiter	yıldızı	4.736198
ngc	yıldız	4.736198
ngc	yıldızı	4.736198
yıldız	yıldızı	4.736198
dil	dili	4.736198
dil	dilleri	4.736198
dil	ingilizce	4.736198
