source	target	weight
albüm	albümü	6.832890
albüm	gitar	6.832890
albüm	müzik	6.832890
albüm	şarkı	5.832890
albümü	gitar	6.832890
albümü	müzik	6.832890
albümü	şarkı	5.832890
gitar	müzik	6.832890
gitar	şarkı	5.832890
müzik	şarkı	5.832890
anadolu	bantia	6.832890
anadolu	john	6.832890
anadolu	lisesi	5.832890
anadolu	william	6.832890
bantia	john	6.832890
bantia	lisesi	5.832890
bantia	william	6.832890
john	lisesi	5.832890
john	william	6.832890
lisesi	william	5.832890
için	kullanıcı	5.832890
için	microsoft	5.832890
için	veya	4.832890
için	windows	5.832890
kullanıcı	microsoft	6.832890
kullanıcı	veya	5.832890
kullanıcı	windows	6.832890
microsoft	veya	5.832890
microsoft	windows	6.832890
veya	windows	5.832890
fakültesi	lisesi	5.832890
fakültesi	mezun	6.832890
fakültesi	nde	6.832890
fakültesi	üniversitesi	6.832890
lisesi	mezun	5.832890
lisesi	nde	5.832890
lisesi	üniversitesi	5.832890
mezun	nde	6.832890
mezun	üniversitesi	6.832890
nde	üniversitesi	6.832890
başkanı	genel	5.832890
başkanı	milletvekili	5.832890
başkanı	parti	6.832890
başkanı	partisi	6.832890
genel	milletvekili	5.832890
genel	parti	5.832890
genel	partisi	5.832890
milletvekili	parti	5.832890
milletvekili	partisi	5.832890
parti	partisi	6.832890
bağlı	ilinin	4.832890
bağlı	ilçesine	4.832890
bağlı	köydür	4.832890
bağlı	mahalledir	4.832890
ilinin	ilçesine	6.832890
ilinin	köydür	6.832890
ilinin	mahalledir	6.832890
ilçesine	köydür	6.832890
ilçesine	mahalledir	6.832890
köydür	mahalledir	6.832890
kan	neden	6.832890
kan	psychotria	6.832890
kan	tedavi	6.832890
kan	veya	5.832890
neden	psychotria	6.832890
neden	tedavi	6.832890
neden	veya	5.832890
psychotria	tedavi	6.832890
psychotria	veya	5.832890
tedavi	veya	5.832890
film	filmde	5.832890
film	filmi	5.832890
film	tiyatrosu	5.832890
film	yapımı	5.832890
filmde	filmi	6.832890
filmde	tiyatrosu	6.832890
filmde	yapımı	6.832890
filmi	tiyatrosu	6.832890
filmi	yapımı	6.832890
tiyatrosu	yapımı	6.832890
babasıdır	evlendi	6.832890
babasıdır	evli	6.832890
babasıdır	oğlu	6.832890
babasıdır	çocuk	6.832890
evlendi	evli	6.832890
evlendi	oğlu	6.832890
evlendi	çocuk	6.832890
evli	oğlu	6.832890
evli	çocuk	6.832890
oğlu	çocuk	6.832890
2019	2021	6.832890
2019	bölüm	6.832890
2019	tarihinde	6.832890
2019	televizyon	6.832890
2021	bölüm	6.832890
2021	tarihinde	6.832890
2021	televizyon	6.832890
bölüm	tarihinde	6.832890
bölüm	televizyon	6.832890
tarihinde	televizyon	6.832890
gazetesi	kitabı	6.832890
gazetesi	kitap	6.832890
gazetesi	roman	6.832890
gazetesi	şiir	6.832890
kitabı	kitap	6.832890
kitabı	roman	6.832890
kitabı	şiir	6.832890
kitap	roman	6.832890
kitap	şiir	6.832890
roman	şiir	6.832890
attı	gol	6.832890
attı	maçta	6.832890
attı	maçı	6.832890
attı	maçında	6.832890
gol	maçta	6.832890
gol	maçı	6.832890
gol	maçında	6.832890
maçta	maçı	6.832890
maçta	maçında	6.832890
maçı	maçında	6.832890
dalga	enerji	6.832890
dalga	hidrojen	6.832890
dalga	kuantum	6.832890
dalga	manyetik	6.832890
enerji	hidrojen	6.832890
enerji	kuantum	6.832890
enerji	manyetik	6.832890
hidrojen	kuantum	6.832890
hidrojen	manyetik	6.832890
kuantum	manyetik	6.832890
itibarıyla	nüfus	6.832890
itibarıyla	nüfusu	6.832890
itibarıyla	sayımına	6.832890
itibarıyla	şehrin	6.832890
nüfus	nüfusu	6.832890
nüfus	sayımına	6.832890
nüfus	şehrin	6.832890
nüfusu	sayımına	6.832890
nüfusu	şehrin	6.832890
sayımına	şehrin	6.832890
karşı	ordu	5.832890
karşı	ordusu	5.832890
karşı	savaş	5.832890
karşı	savaşı	5.832890
ordu	ordusu	6.832890
ordu	savaş	6.832890
ordu	savaşı	6.832890
ordusu	savaş	6.832890
ordusu	savaşı	6.832890
savaş	savaşı	6.832890
hava	havaalanı	6.832890
hava	havalimanı	6.832890
hava	uçak	6.832890
hava	uçağı	6.832890
havaalanı	havalimanı	6.832890
havaalanı	uçak	6.832890
havaalanı	uçağı	6.832890
havalimanı	uçak	6.832890
havalimanı	uçağı	6.832890
uçak	uçağı	6.832890
istanbul	türk	5.247928
istanbul	türkiye	4.832890
istanbul	türkçe	6.832890
istanbul	türkçeye	6.832890
türk	türkiye	4.247928
türk	türkçe	5.247928
türk	türkçeye	5.247928
türkiye	türkçe	4.832890
türkiye	türkçeye	4.832890
türkçe	türkçeye	6.832890
1934	1945	6.832890
1934	alman	6.832890
1934	nisan	6.832890
1934	von	6.832890
1945	alman	6.832890
1945	nisan	6.832890
1945	von	6.832890
alman	nisan	6.832890
alman	von	6.832890
nisan	von	6.832890
frac	mathbf	6.832890
frac	partial	6.832890
frac	sqrt	6.832890
frac	u_	6.832890
mathbf	partial	6.832890
mathbf	sqrt	6.832890
mathbf	u_	6.832890
partial	sqrt	6.832890
partial	u_	6.832890
sqrt	u_	6.832890
en	film	5.832890
en	iyi	6.832890
en	ödülleri	6.832890
en	ödülü	6.832890
film	iyi	5.832890
film	ödülleri	5.832890
film	ödülü	5.832890
iyi	ödülleri	6.832890
iyi	ödülü	6.832890
ödülleri	ödülü	6.832890
bağlı	cinsidir	4.832890
bağlı	familyasına	4.832890
bağlı	hayvan	4.832890
bağlı	türüdür	4.832890
cinsidir	familyasına	5.832890
cinsidir	hayvan	6.832890
cinsidir	türüdür	5.247928
familyasına	hayvan	5.832890
familyasına	türüdür	5.247928
hayvan	türüdür	5.247928
il	ilçe	6.832890
il	km	6.832890
il	merkezine	6.832890
il	uzaklıktadır	6.832890
ilçe	km	6.832890
ilçe	merkezine	6.832890
ilçe	uzaklıktadır	6.832890
km	merkezine	6.832890
km	uzaklıktadır	6.832890
merkezine	uzaklıktadır	6.832890
bir	bu	6.832890
bir	felsefe	6.832890
bir	olarak	6.832890
bir	olduğunu	6.832890
bu	felsefe	6.832890
bu	olarak	6.832890
bu	olduğunu	6.832890
felsefe	olarak	6.832890
felsefe	olduğunu	6.832890
olarak	olduğunu	6.832890
birliği	rus	6.832890
birliği	rusya	6.832890
birliği	sovyet	6.832890
birliği	sovyetler	6.832890
rus	rusya	6.832890
rus	sovyet	6.832890
rus	sovyetler	6.832890
rusya	sovyet	6.832890
rusya	sovyetler	6.832890
sovyet	sovyetler	6.832890
ceza	cezasına	6.832890
ceza	hapis	6.832890
ceza	mahkemesi	6.832890
ceza	çarptırıldı	6.832890
cezasına	hapis	6.832890
cezasına	mahkemesi	6.832890
cezasına	çarptırıldı	6.832890
hapis	mahkemesi	6.832890
hapis	çarptırıldı	6.832890
mahkemesi	çarptırıldı	6.832890
camii	katolik	6.832890
camii	kilise	6.832890
camii	kilisesi	6.832890
camii	ortodoks	6.832890
katolik	kilise	6.832890
katolik	kilisesi	6.832890
katolik	ortodoks	6.832890
kilise	kilisesi	6.832890
kilise	ortodoks	6.832890
kilisesi	ortodoks	6.832890
güneş	jüpiter	6.832890
güneş	ngc	6.832890
güneş	yıldız	6.832890
güneş	yıldızı	6.832890
jüpiter	ngc	6.832890
jüpiter	yıldız	6.832890
jüpiter	yıldızı	6.832890
ngc	yıldız	6.832890
ngc	yıldızı	6.832890
yıldız	yıldızı	6.832890
dil	dili	6.832890
dil	dilleri	6.832890
dil	ingilizce	6.832890
dil	konuşulan	6.832890
dili	dilleri	6.832890
dili	ingilizce	6.832890
dili	konuşulan	6.832890
dilleri	ingilizce	6.832890
dilleri	konuşulan	6.832890
ingilizce	konuşulan	6.832890
da	doğdu	6.832890
da	dünyaya	6.832890
da	geldi	6.832890
da	çocuğu	6.832890
doğdu	dünyaya	6.832890
doğdu	geldi	6.832890
doğdu	çocuğu	6.832890
dünyaya	geldi	6.832890
dünyaya	çocuğu	6.832890
geldi	çocuğu	6.832890
bak	ben	6.832890
bak	evet	6.832890
bak	lo	6.832890
bak	tamam	6.832890
ben	evet	6.832890
ben	lo	6.832890
ben	tamam	6.832890
evet	lo	6.832890
evet	tamam	6.832890
lo	tamam	6.832890
buğday	meyve	6.832890
buğday	mutfağı	6.832890
buğday	mutfağında	6.832890
buğday	soğan	6.832890
meyve	mutfağı	6.832890
meyve	mutfağında	6.832890
meyve	soğan	6.832890
mutfağı	mutfağında	6.832890
mutfağı	soğan	6.832890
mutfağında	soğan	6.832890
el	ibn	6.832890
el	islam	6.832890
el	muhammed	6.832890
el	müslüman	6.832890
ibn	islam	6.832890
ibn	muhammed	6.832890
ibn	müslüman	6.832890
